,mean,std
larva_highgt,90.838125,28.1414174861
larva_highpd,93.3338541667,31.759890226
larva_lowgt,43.2045833333,13.4079112737
larva_lowpd,47.858125,11.9185581395
larva_rategt,3.51509421656,0.449361787701
larva_ratepd,3.478957063,0.594231041781
larva_ratiogt,0.62431368365,0.272859912094
larva_ratiopd,0.570189564887,0.300879620749
pupa_highgt,136.125,25.9694188284
pupa_highpd,130.25,24.2707937359
pupa_lowgt,72.25,14.2903563886
pupa_lowpd,71.125,13.3677383492
pupa_rategt,2.7,0.226778683806
pupa_ratepd,2.725,0.32403703492
pupa_ratiogt,1.9036539588,0.257309797665
pupa_ratiopd,1.86429741841,0.345062686491
adult_highgt,119.428571429,17.7468977839
adult_highpd,122.571428571,23.6844333044
adult_lowgt,69.1142857143,22.4727559926
adult_lowpd,68.0,29.3257565972
adult_rategt,7.55714285714,0.660447178956
adult_ratepd,7.49571428571,0.573639176453
adult_ratiogt,1.81309976556,0.342854453038
adult_ratiopd,1.96181114451,0.45865472827
